HCPCS,MOD,MOD2,CATG,ALNR,ALR,ARNR,ARR,AZNR,AZR,CANR,CAR,CONR,COR,CTNR,CTR,DCNR,DCR,DENR,DER,FLNR,FLR,GANR,GAR,IANR,IAR,IDNR,IDR,ILNR,ILR,INNR,INR,KSNR,KSR,KYNR,KYR,LANR,LAR,MANR,MAR,MDNR,MDR,MENR,MER,MINR,MIR,MNNR,MNR,MONR,MOR,MSNR,MSR,MTNR,MTR,NCNR,NCR,NDNR,NDR,NENR,NER,NHNR,NHR,NJNR,NJR,NMNR,NMR,NVNR,NVR,NYNR,NYR,OHNR,OHR,OKNR,OKR,ORNR,ORR,PANR,PAR,RINR,RIR,SCNR,SCR,SDNR,SDR,TNNR,TNR,TXNR,TXR,UTNR,UTR,VANR,VAR,VTNR,VTR,WANR,WAR,WINR,WIR,WVNR,WVR,WYNR,WYR,AKNR,AKR,HINR,HIR,PRNR,PRR,VINR,VIR,PEN,FROMDATE,TODATE
A4216, , ,OS,0.49,0,0.51,0,0.5,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.49,0,0.51,0,0.51,0,0.43,0,0.43,0,0.51,0,0.43,0,0.45,0,0.51,0,0.51,0,0.5,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.45,0,0.49,0,0.5,0,0.51,0,0.51,0,0.51,0,0.51,0,0.46,0,0.43,0,0.43,0,0.43,0,0.51,0,0.45,0,0.51,0,0.44,0,0.44,0,0.44,0,0.51,0,0.49,0,0.51,0,0.43,0,0.51,0,0.49,0,0.51,0,0.82,0,0.8,0,0.44,0,0.46,0, ,7/01/2021,9/30/2021
A4217, , ,SU,3.1,0,3.65,0,3.65,0,3.1,0,3.65,0,3.65,0,3.24,0,3.65,0,3.65,0,3.65,0,3.65,0,3.1,0,3.65,0,3.65,0,3.1,0,3.1,0,3.65,0,3.1,0,3.65,0,3.1,0,3.65,0,3.65,0,3.1,0,3.29,0,3.1,0,3.1,0,3.52,0,3.17,0,3.1,0,3.65,0,3.65,0,3.1,0,3.1,0,3.65,0,3.15,0,3.65,0,3.65,0,3.1,0,3.1,0,3.65,0,3.1,0,3.65,0,3.1,0,3.3,0,3.56,0,3.65,0,3.65,0,3.65,0,3.65,0,1.79,0,3.15,0,4.02,0,3.1,0, ,7/01/2021,9/30/2021
A4217,AU, ,OS,3.1,0,3.65,0,3.65,0,3.1,0,3.65,0,3.65,0,3.24,0,3.65,0,3.65,0,3.65,0,3.65,0,3.1,0,3.65,0,3.65,0,3.1,0,3.1,0,3.65,0,3.1,0,3.65,0,3.1,0,3.65,0,3.65,0,3.1,0,3.29,0,3.1,0,3.1,0,3.52,0,3.17,0,3.1,0,3.65,0,3.65,0,3.1,0,3.1,0,3.65,0,3.15,0,3.65,0,3.65,0,3.1,0,3.1,0,3.65,0,3.1,0,3.65,0,3.1,0,3.3,0,3.56,0,3.65,0,3.65,0,3.65,0,3.65,0,1.79,0,3.15,0,4.02,0,3.1,0, ,7/01/2021,9/30/2021
A4221, , ,SU,22.14,23.54,22.14,23.54,22.03,23.32,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.03,23.32,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.03,23.32,22.14,23.54,22.03,23.32,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.03,23.32,23.45,0,24.36,0,26.18,0,23.54,0, ,7/01/2021,9/30/2021
A4222, , ,SU,43.09,46.86,43.09,46.86,42.34,45.36,42.34,45.36,43.09,46.86,43.09,46.86,42.57,45.82,43.09,46.86,42.57,45.82,43.09,46.86,42.34,45.36,42.34,45.36,42.57,45.82,43.09,46.86,42.34,45.36,43.09,46.86,43.09,46.86,43.09,46.86,42.57,45.82,43.09,46.86,43.09,46.86,43.09,46.86,42.34,45.36,43.09,46.86,42.34,45.36,42.96,46.6,42.34,45.36,42.34,45.36,43.09,46.86,43.09,46.86,43.09,46.86,42.34,45.36,43.09,46.86,42.57,45.82,43.09,46.86,42.34,45.36,43.09,46.86,43.09,46.86,43.09,46.86,42.34,45.36,43.09,46.86,42.57,45.82,42.34,45.36,42.57,45.82,43.09,46.86,42.34,45.36,43.09,46.86,42.57,45.82,42.34,45.36,45.62,0,47.43,0,51.03,0,46.86,0, ,7/01/2021,9/30/2021
A4224, , ,SU,22.14,23.54,22.14,23.54,22.03,23.32,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.03,23.32,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.03,23.32,22.14,23.54,22.03,23.32,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.03,23.32,22.14,23.54,22.14,23.54,22.03,23.32,23.45,0,24.36,0,26.18,0,23.54,0, ,7/01/2021,9/30/2021
A4225, , ,SU,2.86,2.93,2.86,2.93,2.85,2.91,2.85,2.91,2.86,2.93,2.86,2.93,2.85,2.91,2.86,2.93,2.85,2.91,2.86,2.93,2.85,2.91,2.85,2.91,2.85,2.91,2.86,2.93,2.85,2.91,2.86,2.93,2.86,2.93,2.86,2.93,2.85,2.91,2.86,2.93,2.86,2.93,2.86,2.93,2.86,2.93,2.86,2.93,2.85,2.91,2.85,2.91,2.85,2.91,2.85,2.91,2.86,2.93,2.86,2.93,2.86,2.93,2.85,2.91,2.86,2.93,2.85,2.91,2.86,2.93,2.85,2.91,2.86,2.93,2.86,2.93,2.86,2.93,2.85,2.91,2.86,2.93,2.85,2.91,2.86,2.93,2.85,2.91,2.86,2.93,2.85,2.91,2.86,2.93,2.85,2.91,2.85,2.91,2.91,0,2.91,0,3.2,0,2.93,0, ,7/01/2021,9/30/2021
A4233,NU, ,IN,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0, ,7/01/2021,9/30/2021
A4234,NU, ,IN,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0, ,7/01/2021,9/30/2021
A4235,NU, ,IN,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0, ,7/01/2021,9/30/2021
